All,Всі
"Customer Group already exists.","Така група покупців вже існує."
Male,Чоловік
Female,Жінка
"Thank you for registering with","Дякуємо Вам за реєстрацію у"
"Please enter new password.","Будь ласка, введіть новий пароль."
Label,Етикетка
"Personal Information","Персональна інформація"
"Customer Group:","Група покупців:"
"Default Billing Address","Адреса виставлення рахунка за промовчанням"
"Manage Addresses","Керувати адресами"
"Default Shipping Address","Адреса доставки за промовчанням"
"Contact Information","Контактна інформація"
"Change Password","Змінити пароль"
Newsletters,"Розсилки новин"
"Default Addresses","Адреси за промовчанням"
"Change Billing Address","Змінити адресу виставлення рахунка"
"You have no default billing address in your address book.","У Вас немає адреси виставлення рахунка за промовчанням у Вашій адресній книзі."
"Change Shipping Address","Змінити адресу доставки"
"You have no default shipping address in your address book.","У Вас немає адреси доставки за промовчанням у Вашій адресній книзі."
"Additional Address Entries","Додаткові адреси"
"Delete Address","Видалити адресу"
"It's a default billing address.","Це адреса виставлення рахунка за промовчанням."
"Use as my default billing address","Використовувати як мою адресу виставлення рахунка за промовчанням"
"It's a default shipping address.","Це адреса доставки за промовчанням."
"Use as my default shipping address","Використовувати як мою адресу доставки за промовчанням"
"Go back",Назад
"Change Email","Змінити електронну пошту"
"Change Email and Password","Змінити електронну пошту та пароль"
"Current Password","Поточний пароль"
"Password Strength","Надійність пароля"
"No Password","Нема пароля"
"Confirm New Password","Підтвердьте новий пароль"
"Registered Customers","Зареєстровані покупці"
"If you have an account, sign in with your email address.","Якщо у вас є обліковий запис, увійдіть за допомогою адреси електронної пошти."
"Subscription option","Варіанти підписки"
"General Subscription","Загальна підписка"
"Sign Up for Newsletter","Підписатися на розсилку новин"
"Sign-in Information","Інформація для входу"
"Confirm Password","Підтвердьте пароль"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Створення облікового запису має багато переваг: оформлюйте швидше, зберігайте кілька адрес, відслідковуйте замовлення та багато іншого."
Fax,Факс
"Welcome to %store_name","Ласкаво просимо до %store_name"
"Welcome to %store_name.","Ласкаво просимо на %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Для входу на наш сайт використовуйте ці облікові дані під час оформлення замовлення або на <a href=""%customer_url"">Мій аккаунт </a> сторінці:"
Email:,"Електронна пошта:"
Password:,Пароль:
"Password you set when creating account","Пароль встановлено під час створення облікового запису"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Забули ваш пароль облікового запису? Натисніть <a href=""%reset_url"">тут</a>, щоб скинути його."
"Proceed through checkout faster","Приступити до оформлення замовлення швидше"
"Check the status of orders","Перевірити статус замовлень"
"View past orders","Переглянути останні замовлення"
"Your %store_name email has been changed","Вашу %store_name електронну пошту було змінено"
"We have received a request to change the following information associated with your account at %store_name: email.","Ми отримали прохання про зміну наступної інформації, пов'язаної з Вашим обліковим записом на %store_name: електронна пошта."
"Your %store_name email and password has been changed","Ваші %store_name електронну пошту та пароль було змінено"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Ми отримали прохання про зміну наступної інформації, пов'язаної з Вашим обліковим записом на %store_name: пароль."
"There was recently a request to change the password for your account.","Ми отримали запит на скидання пароля для вашого акаунту."
"Are you sure you want to delete this address?","Ви впевнені, що хочете видалити цю адресу?"
Weak,Слабкий
Medium,Середній
Strong,Сильний
"Very Strong","Дуже сильний"
"All Customers","Всі покупці"
"Now Online","Зараз онлайн"
"Enable Automatic Assignment to Customer Group","Увімкнути автоматичне присвоєння групи покупцю"
"Redirect Customer to Account Dashboard after Logging in","Після входу в систему перенаправити клієнта на панель управління в акаунті"
"Assign a Customer Group","Назначити групу покупців"
"Are you sure to assign selected customers to new group?","Ви впевнені що хочете привязати вибраних покупців до нової групи?"
Group,Група
"Subscribe to Newsletter","Підписка на розсилку"
"Are you sure to unsubscribe selected customers from newsletter?","Ви впевнені що хочете відписати вибраних клієнтів від поштової розсилки?"
"Unsubscribe from Newsletter","Відписатися від розсилки новин"
"Account Dashboard","Панель керування облікового запису"
"Edit Account Information","Редагувати обліковий запис"
"My Dashboard","Моя приладова дошка"
"You subscribe to our newsletter.","Ви підписалися на нашу розсилку новин."
"You don't subscribe to our newsletter.","Ви не підписувалися на нашу розсилку."
"Confirm your new password.","Підтвердьте Ваш новий пароль."
"Please enter the phone number.","Будь ласка, введіть номер телефону."
"Please enter the zip/postal code.","Будь ласка, вкажіть поштовий індекс."
"You subscribe to ""General Subscription"".","Ви підписалися на ""Загальна підписка""."
"More information",Детальніше
"This is your default billing address.","Це Ваша адреса виставлення рахунка за промовчанням."
"This is your default shipping address.","Це Ваша адреса доставки за промовчанням."
"Current customer does not have access to the resource ""%1""","Поточний клієнт не має доступу до ресурсу ""%1"""
"Customer id %1 does not exist.","Клієнта з ідентифікатором %1 не існує."
"Required parameters are missing: %1","Відсутні обов'язкові параметри: %1"
"Customer Address %1 is set as default billing address and can not be deleted","Адреса клієнта %1 встановленна як стандартна адреса виставлення рахунків і не може бути видалена"
"Customer Address %1 is set as default shipping address and can not be deleted","Адреса клієнта %1 встановленна як стандартна адреса доставки і не може бути видалена"
"Could not find a address with ID ""%address_id""","Не вдалося знайти адресу з ідентифікатором ""%address_id"""
"Current customer does not have permission to address with ID ""%address_id""","Адреса з ідентифікатором ""%address_id"" не належить поточному клієнту"
"The current customer isn't authorized.","Поточний клієнт не авторизований."
"Customer with id ""%customer_id"" does not exist.","Клієнта з ідентифікатором ""%customer_id"" не існує."
"The account is locked.","Ваш обліковий запис заблоковано."
"This account isn't confirmed. Verify and try again.","Цей обліковий запис не підтверджено. Перевірте данні та повторіть спробу."
"A customer with the same email address already exists in an associated website.","Клієнт з тією ж адресою електронної пошти вже існує у відповідному веб-сайті."
"Provide the current ""password"" to change ""email"".","Вкажіть пароль для зміни електронної адреси."
"Specify the ""currentPassword"" value.","Вкажіть теперішній пароль."
"Specify the ""newPassword"" value.","Вкажіть новий пароль."
"""input"" value should be specified","Значення ""input"" повиненне бути вказане"
"Address ""id"" value should be specified","Потрібно вказати ідентифікатор адреси"
"Specify the ""email"" value.","Вкажіть електронну адресу."
"Specify the ""password"" value.","Вкажіть пароль."
"""Email should be specified","Алектронна адреса мусить бути вказана"
Segments,Сегменти
"Add Segment","Додати сегмент"
Reports,Звіти
"Newsletter Subscription","Підписка на розсилку новин"
"Order Status","Статус замовлення"
"Wish List","Список Бажань"
"Number of Orders","Кількість замовлень"
"Grand Total","Загальний підсумок"
"Card number","Номер картки"
"Card expiry date","Термін дії картки"
"Value can't be empty","Значення не може бути порожнім"
Centimeters,Сантиметрів
cm,см
Depth,Глибина
Width,Ширина
"Account Number","Номер акаунту"
"Content Type","Тип контенту"
Size,Розмір
kgs,кг
"My Downloadable Products","Мої завантажувані товари"
Links,Посилання
"Go to <a href=""%1"">My Downloadable Products</a>","Перейти до <a href=""%1""> Мої завантажувані товари</a>"
"View Order","Переглянути замовлення"
"You have not purchased any downloadable products yet.","Ви ще не придбали жодних завантажуваних товарів."
Downloads,Завантаження
Unlimited,Необмежено
"""Entity type should be specified","""Тип сутності повинен бути вказаний"
"""Attribute code should be specified","""Код атрибута повинен бути вказаний"
"Invalid entity_type specified: %1","Вказано невірний entity_type: %1"
"Missing %1 for the input %2.","Відсутній %1 для вводу %2."
"Cannot resolve EAV type","Не вдалося визначити тип EAV"
"Add New Template","Додати новий шаблон"
"Delete Template","Видалити шаблон"
"Convert to Plain Text","Перетворити на звичайний текст"
"Preview Template","Попередній перегляд шаблону"
"Save Template","Зберегти шаблон"
"Edit Template","Редагувати шаблон"
"New Template","Новий шаблон"
"Encryption Key","Ключ шифрування"
Adult,"Для дорослих"
status,статус
Key,Ключ
"Gift Card Information","Інформація про подарункову карту"
Virtual,Віртуальний
Information,Інформація
"Order #%1.","Замовлення #%1."
" of "," з "
"Test label","Тестова етикетка"
Note,Примітка
"Remove Item","Видалити елемент"
Public,Публічний
"Please enter a valid email address.","Будь ласка, введіть коректну адресу електронної пошти."
New,Новий
"All Forms","Всі форми"
Owner,Власник
Type:,Тип:
"Required Fields","Обов'язкові поля"
"Event Information","Відомості про подію"
"Anonymize IP","Анонімізувати IP"
"Send to Google","Надсилати в Google"
"Store code %1 does not exist","%1 - такого Коду Крамниці не існує"
"Grouped Products","Групові товари"
"Add Products to Group","Додати товари до групи"
Filter,Фільтр
"Import successfully done","Імпорт успішно завершено"
User,Користувач
"Update on Save","Оновлення під час збереження"
Processing,Обробка
Mode,Режим
"Shipping Method","Спосіб доставки"
"A payment method isn't defined for instance purchase. Verify and try again.","Для миттєвої покупки не визначено спосіб оплати. Перевірити та повторіть спробу."
Integrations,Інтеграції
"New Integration","Нова інтеграція"
Activate,Активувати
Reauthorize,"Повторно авторизуватися"
"You need to specify a customer ID group.","Вам потрібно вказати ідентифікатор групи покупців."
Link,Посилання
"Filterable (with results)","Фільтрування (з результатами)"
"Filterable (no results)","Фільтрування (без результатів)"
"Use in Layered Navigation","Використання в пошукової навігації"
"Now Shopping by","Тепер покупки за"
Reorder,"Повторити замовлення"
Print,Друк
Run,Запустити
Send,Відправити
Create,Створити
"Catalog Categories","Категорії каталогу"
"Sales Orders",Замовлення
"Manage Design","Керувати дизайном"
Partners,Партнери
"Find Partners & Extensions","Партнери та Додатки"
Synchronize,Синхронізувати
Synchronizing...,Синхронізація...
Wishlist,"Список бажань"
"My Wish Lists","Мої списки бажань"
"1 item in wish list","1 елемент в списку бажань"
"%1 items in wish list","%1 елемент(ів) в список побажань"
"Product(s) %1 have required options. Each product can only be added individually.","Продукт (и) %1 мають необхідні параметри. Кожен продукт можуе додаватися індивідуально."
"Owner Name","Ім'я власника"
"%1's Wish List","%1 в список побажань"
"Sign in to edit wish lists.","Увійдіть, щоб редагувати списки бажань."
"Provide the wish list name.","Укажіть ім'я списку бажань."
"Wish list ""%1"" already exists.","Список бажань ""%1"" вже існує."
"All Wish Lists","Всі Списки Бажань"
"Delete Wish List","Видалити Список Бажань"
"Wish List Items","Елементи Списку Бажань"
"Create New Wish List","Створити Новий Список Бажань"
"Copy to Wish List","Копіювати в Список Бажань"
"Wish List Name","Назва Списку Бажань"
"Edit Wish List","Редагувати Список Бажань"
"Public Wish List","Публічний Список Бажань"
"Private Wish List","Приватний Список Бажань"
"Move Selected to Wish List","Перемістити Обране в Список Бажань"
"Copy Selected to Wish List","Копіювати Обране в Список Бажань"
"Edit Billing Address","Адреса для виставлення рахунків"
"Edit Shipping Address","Адреса доставки"
"Check Out with Multiple Addresses","Оформити з багатьма адресами"
"Grand Total:","Загальний підсумок:"
"Select Shipping Method","Оберіть спосіб доставки"
"Ship to:",Отримувач:
"Save as Draft","Зберегти як чернетку"
"Shipping & Handling","Доставка та оброблення"
Qty:,Кількість:
"Click to change shipping method","Натисніть щоб змінити спосіб доставки"
"Shipping address","Адреса доставки"
"Shipping method","Спосіб доставки"
"Show My Orders","Показати мої замовлення"
"Show All Orders","Показати всі замовлення"
"Cancel coupon","Скасувати купон"
"Save Newsletter","Зберегти Розсилку Новин"
"View Newsletter","Переглянути Розсилку Новин"
"Edit Newsletter","Редагувати Розсилку Новин"
"Queue Information","Інформація про чергу"
Pause,Пауза
"Do you really want to cancel the queue?","Ви дійсно хочете скасувати чергу?"
Resume,Відновити
"Return HTML Version","Повернути HTML-версію"
"Save As","Зберегти як..."
Subscribers,Підписники
"Thank you for your subscription.","Дякуємо що підписались."
"There was a problem with the subscription: %1","Виникла проблема з підпискою: %1"
"You unsubscribed.","Ви відписались."
Cancelled,Скасовано
" Copy"," Копіювати"
"Sign Up for Our Newsletter:","Підпишіться на нашу розсилку новин:"
"Enter your email address","Введіть адресу електронної пошти"
Subscribe,Підписатися
"You have been successfully subscribed to our newsletter.","Ви успішно підписалися на розсилку новин."
"You have been unsubscribed from the newsletter.","Ви успішно відписались від розсилки новин."
"Subscription Options","Варіанти підписки"
"Allow Guest Subscription","Дозволити гостям підписуватись на розсилку"
"Need to Confirm","Необхідно підтвердження"
Unsubscribe,Відписатися
Subscribed,Підписаний
"Newsletter Subscriptions","Підписки на розсилку новин"
"Built-in Cache","Вбудований кеш"
"Please enter a valid credit card verification number.","Будь ласка, введіть правильний номер перевірки кредитної картки."
"Please enter a valid credit card number.","Будь ласка, введіть правильний номер кредитної карти."
"Billing Agreements","Білінгові угоди"
"Related Orders","Повязані замовлення"
Help,Допомога
"We cannot cancel this order.","Ми не можемо скасувати це замовлення."
"Ship To",Отримувач
"Back to Billing Agreements","Повернутися до білінгових угод"
"There are no billing agreements yet.","Ще немає жодної білінгової угоди."
"Please select a shipping method...","Будь ласка, виберіть спосіб доставки..."
"Update Shipping Method","Обновіть спосіб доставки"
"Edit Shopping Cart","Редагувати Кошик"
"Home Page","Домашня сторінка"
"Page Style","Стиль сторінки"
Large,Великий
"Not you?","Ви не?"
"Welcome, %1!","Ласкаво просимо, %1!"
"Edit Product Price","Редагувати ціни товару"
Price:,Ціна:
Url,URL-адреса
"Images And Videos","Зображення та відео"
"Edit Catalog Price Rules","Редагувати правила цін каталогу"
"Shipping & Handling (%1)","Доставка та оброблення (%1)"
"Shipping address not set.","Не вказано адресу доставки."
"Shopping cart error: %message","Помилка кошика: %message"
"Could not find a product with SKU ""%sku""","Не вдалося знайти продукт з кодом товару ""%sku"""
"Could not add the product with SKU %sku to the shopping cart: %message","Не вдалося додати продукт з кодом товару ""%sku"" до кошика: %message"
"Missing key ""sku"" in cart item data","Відсутній ключ ""sku"" у даних одиниці кошика"
"Missing key ""qty"" in cart item data","Відсутній ключ ""qty"" у даних одиниці кошика"
"Could not find a cart with ID ""%masked_cart_id""","Не вдалося знайти кошик з ідентифікатором ""%masked_cart_id"""
"Current user does not have an active cart.","Поточний користувач не має активного кошику."
"The current user cannot perform operations on cart ""%masked_cart_id""","Поточний користувач не може виконувати операції з кошиком ""%masked_cart_id"""
"Could not find a cart address with ID ""%cart_address_id""","Не вдалося знайти адресу з ідентифікатором ""%cart_address_id"""
"The current user cannot use cart address with ID ""%cart_address_id""","Поточний користувач не може використовувати купівельну адресу з ідентифікатором ""%cart_address_id"""
"The billing address must contain either ""customer_address_id"" or ""address"".","Серед данних платіжної адреси має бути ""customer_address_id"" або ""address""."
"The billing address cannot contain ""customer_address_id"" and ""address"" at the same time.","Данні платіжної адреси не можуть містити ""customer_address_id"" і ""address"" одночасно."
"Using the ""use_for_shipping"" option with multishipping is not possible.","Використання параметра ""use_for_shipping"" не можливо для доставки на замовлення на кілька адресс (мультишипінг)."
"You cannot specify multiple shipping addresses.","Не можна вказати кілька адрес доставки."
"The shipping address must contain either ""customer_address_id"" or ""address"".","Серед данних адреси доставки має бути ""customer_address_id"" або ""address""."
"The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time.","Данні адреси доставки не можуть містити ""customer_address_id"" і ""address"" одночасно."
"You cannot specify multiple shipping methods.","Не можна вказати кілька адрес доставки."
"Required parameter ""cart_address_id"" is missing.","Відсутній обов'язковий параметр ""cart_address_id""."
"Required parameter ""carrier_code"" is missing.","Відсутній обов'язковий параметр ""carrier_code""."
"Required parameter ""method_code"" is missing.","Відсутній обов'язковий параметр ""method_code""."
"Option type ""%1"" is not supported","Опція типу ""%1"" не підтримується"
"%1 doesn't implement CustomizableOptionValueInterface","%1 мусить імплементувати CustomizableOptionValueInterface"
"Required parameter ""cart_id"" is missing","Відсутній обов'язковий параметр ""cart_id"""
"Required parameter ""cartItems"" is missing","Відсутній обов'язковий параметр ""cartItems"""
"Required parameter ""coupon_code"" is missing","Відсутній обов'язковий параметр ""coupon_code"""
"A coupon is already applied to the cart. Please remove it to apply another","До кошика вже застовоно купон. Будь ласка, видаліть його, щоб застосувати інший"
"Missing key ""product"" in cart data","Бракує ключа """"product"" в даних кошика"
"Missing key ""type_id"" in product data","Відсутній ключ ""type_id"" в данних продукту"
"Product ""%product_type"" type is not supported","Тип продукту ""%product_type"" не підтримується"
"Required parameter ""cart_id"" is missing.","Відсутній обов'язковий параметр ""cart_id""."
"Required parameter ""cart_item_id"" is missing.","Відсутній обов'язковий параметр ""cart_item_id""."
"Required parameter ""billing_address"" is missing","Відсутній обов'язковий параметр ""billing_address"""
"Required parameter ""payment_method"" is missing","Відсутній обов'язковий параметр ""payment_method"""
"Required parameter ""shipping_addresses"" is missing","Відсутній обов'язковий параметр ""shipping_addresses"""
"Required parameter ""shipping_methods"" is missing","Відсутній обов'язковий параметр ""shipping_methods"""
"""model"" values should be specified","Значення ""model"" повиненне бути вказане"
"Required parameter ""cart_items"" is missing.","Відсутній обов'язковий параметр ""cart_items""."
"Required parameter ""cart_item_id"" for ""cart_items"" is missing.","Відсутній обов'язковий параметр ""cart_item_id"" для ""cart_items""."
"Required parameter ""quantity"" for ""cart_items"" is missing.","Відсутній обов'язковий параметр ""quantity"" для ""cart_items""."
"Could not find cart item with id: %1.","Не вдалося знайти одиницю кошика з ідентифікатором: %1."
"What’s new with Magento 2.2.4","Що нового в Magento 2.2.4"
"Flexible Payment Terms","Гнучкі умови оплати"
"What's new with Magento 2.2.2","Що нового в Magento 2.2.2"
"
                        <p>Magento 2.2.2 offers advanced new features, including:</p>
                        <br />
                        <div class=""analytics-highlight"">
                        <h3>Advanced Reporting</h3>
                        <p>Gain valuable insights through a dynamic suite of product, order, and customer reports,
                        powered by Magento Business Intelligence.</p>
                        </div>
                        <div class=""instant-purchase-highlight"">
                        <h3>Instant Purchase</h3>
                        <p>Simplify ordering and boost conversion rates by allowing your customers to use stored
                        payment and shipping information to skip tedious checkout steps.</p>
                        </div>
                        <div class=""email-marketing-highlight"">
                        <h3>Email Marketing Automation</h3>
                        <p>Send smarter, faster email campaigns with marketing automation from dotmailer, powered by
                        your Magento store's live data.</p>
                        </div>
                        <p>Release notes and additional details can be found at
                        <a href=""http://devdocs.magento.com/"" target=""_blank"">Magento DevDocs</a>.
                        </p>
                        ","
<p>Magento 2.2.2 пропонує нові функції, зокрема:</p>
                        <br />
                        <div class=""analytics-highlight"">
                        <h3>Розширена звітність</h3>
                        <p>Отримайте цінні відомості за допомогою динамічного набору продуктів, замовлень та звітів про клієнтів,
                        які надходять від Magento Business Intelligence.</p>
                        </div>
                        <div class=""instant-purchase-highlight"">
                        <h3>Миттєва покупка</h3>
                        <p>Спрощення замовлень що підвищує коефіцієнт конверсії, дозволяючи своїм клієнтам використовувати збережену платіжну інформацію та інформацію про доставку, щоб пропустити нудні кроки оформлення замовлення.</p>
                        </div>
                        <div class=""email-marketing-highlight"">
                        <h3>Автоматизація маркетингу електронної пошти</h3>
                        <p>Надсилайте розумніші, швидші поштові кампанії з автоматизацією маркетингу від dotmailer, на базі якого працює
                        ваші дані в магазині Magento.</p>
                        </div>
                        <p>Нотатки про версію та додаткові відомості можна знайти на сторінці
                        <a href=""http://devdocs.magento.com/"" target=""_blank"">Magento DevDocs</a>.
                        </p>
                        "
Hourly,Погодинно
"grand total","загальний підсумок"
"Item SKU %1 %2 ","Елемент SKU %1 %2 "
is,є
Interval,Інтервал
"New Accounts","Новий акаунт"
Period,Період
"Empty Rows","Нема записів"
"Invalid date specified","Вказана невірна дата"
"Show Reviews","Показати відгуки"
"Invoiced Orders","Оплачені замовлення"
"Total Invoiced","Загалом виставлено рахунків"
"Refunded Orders","Повернені замовлення"
Profit,Прибуток
Paid,Сплачені
Reviews,Відгуки
"Orders Report","Звіти про замовленням"
"Select Date","Вибрати дату"
"Products in Cart","Товари в кошику"
"Search Terms","Пошукові фрази"
Rename,Перейменувати
Copy,Копіювати
"Review Details",Детальніше
Nickname,Псевдонім
"All Reviews","Усі відгуки"
"Manage Ratings","Управляти рейтингами"
Ratings,Рейтинг
"My Product Reviews","Мої відгуки про товар"
Rating,Рейтинг
"You have submitted no reviews.","Ви не залишали жодних відгуків."
"View All","Переглянути всі"
"Be the first to review this product","Будьте першим, хто відгукнеться про цей товар"
"You're reviewing:","Ви переглядаєте:"
"Submit Review","Надіслати відгук"
"Please select one of each of the ratings above.","Будь ласка, виберіть один з рейтингів вище."
"Signed up for newsletter with email %1","Підписано на розсилку новин з електронною поштою %1"
First,Перший
"Submit Comment","Надіслати коментар"
"Order # ","Замовлення # "
"Please specify Customer Groups.","Будь ласка, визначте групу покупців."
Invoices,Рахунки
"Are you sure you want to cancel this order?","Ви впевнені, що хочете скасувати це замовлення?"
"Items Ordered","Замовлені позиції"
"Last Ordered Items","Останні замовлені позиції"
"Order History","Історія замовлень"
"Order Information","Відомості про замовлення"
Transactions,"Платіжні операції"
"Discount (%1)","Знижка (%1)"
"Back to My Orders","Повернутися до моїх замовлень"
"Grand Total to be Charged","Загальний підсумок до оплати"
"You sent the message.","Ви надіслали повідомлення."
"Edit Order","Редагувати замовлення"
"We canceled %1 order(s).","Ми скасували %1 замовлення(нь)."
"Orders and Returns","Замовлення і повернення"
"Shipping Address: ","Адреса доставки: "
"New Orders","Нові замовлення"
Complete,Закінчувати
"Shipping &amp; Handling","Доставка та оброблення"
"From Name","Назва форми"
"You have placed no orders.","У Вас немає замовлень."
"Print Order","Роздрукувати замовлення"
"Recent Orders","Нещодавні замовлення"
"Recently Ordered","Нещодавно замовлені"
"Thank you for your order from %store_name.","Дякуємо вам за ваше замовлення в %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Ви можете перевірити стан вашого замовлення, <a href=""%account_url"">увійшовши у свій акаунт</a>."
"Billing Info","Інформація щодо сплати"
"Shipping Info","Інформація щодо доставки"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Ваше замовлення #%increment_id було оновлено із статусом <strong>%order_status</strong>."
"Invoice for your %store_name order","Рахунок-фактура для вашого замовлення %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Ваш рахунок-фактур #%invoice_id для замовлення #%order_id"
"Update to your %store_name invoice","Оновити рахунок-фактуру %store_name"
"Your %store_name order confirmation","Підтвердження замовлення %store_name"
"Once your package ships we will send you a tracking number.","Ми надішлемо вам номер відстеження як тільки пакунок буде відравлено."
"Your Order <span class=""no-link"">#%increment_id</span>","Ваше замовлення <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Придбано <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Оновлення вашого %store_name замовлення"
"Your %store_name order has shipped","Ваше замовлення %store_name було відправлено"
"Your shipping confirmation is below. Thank you again for your business.","Підтвердження доставки знаходиться нижче. Ще раз дякуємо за ваш час."
"Orders Cron Settings","Налаштування крону для замовленнь"
"Authorized amount of %1.","Авторизована сума %1."
"Times Used","Число використань"
Labels,Етикетки
Coupons/Discounts,Купони/Знижки
"Fixed amount discount","Фіксована сума знижки"
"Fixed amount discount for whole cart","Фіксована сума знижки для всього кошика"
"Fatal Error","Фатальна помилка"
"File Name","Назва файлу"
"Search Synonyms","Пошук синонімів"
"Search Terms Report","Звіт по пошуковим фразам"
"Search entire store here...","Шукайте тут..."
"There are no search terms available.","Немає доступних пошукових запитів."
"Search Engine","Пошукова система"
yes,так
no,ні
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Список синонімів, розділених комами. Введені фрази (розділені комами) будуть використовуватися як пошуковий запит ""АБО"" для пошуку у вашому магазині. Наприклад, якщо ви вводите ""черевики, взуття"", а користувач буде шукати ""черевики"", результати пошуку включатимуть будь-який продукт або вміст із терміном ""черевики"" або ""взуття""."
"Requested categories don't exist: %categoriesIds.","Запитувані категорії не існують: %categoriesIds."
"Tracking information must contain title, carrier code, and tracking number","Інформація про відстеження повинна містити назву, код перевізника та номер відстеження"
Contents,Контент
in,в
kg,кг
"Shipping &amp; Handling Information","Інформація про доставку та оброблення"
Info:,Інформація:
"Local Time","Місцевий час"
"New Sitemap","Нова карта сайту"
Sitemap,"Карта сайту"
Filename,"Ім'я файлу"
"Categories Options","Опції категорій"
"CMS Pages Options","Опції CMS сторінок"
"Date & Time","Дата і час"
"Content Staging Dashboard","Панель Інсценування Контенту"
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Оновлення в цей проміжок часу вже існує. 
                            Виберіть інший діапазон для додавання нового оновлення."
"You saved this %1 update.","Ви зберегли це оновлення %1."
Staging,Інсценування
"Staging Dashboard","Панель Інсценування"
"Store with the same code","Крамниця з таким самим кодом"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Код Крамниці може складатися лише з латинських літер (a-z), цифр (0-9) та підкреслення(_). Першим символом має бути літера."
Layouts,Розмітка
"Corrupted Categories Data","Пошкоджено дані категорій"
Id,Ідентифікатор
"URL key","Ключ URL-адреси"
"Event Name","Назві події"
"General Rule Information","Загальна інформація про правило"
"Related Products Rules","Правила для супутніх товарів"
"We can't save the product rule right now.","Ми не можемо зберегти правило для товару прямо зараз."
more,більше
less,менше
"Zip/Post Code","Поштовий індекс"
"Save Rule","Зберегти правило"
"Shipping & Handling (Excl.Tax)","Доставка та оброблення (за виключенням податків)"
"Shipping & Handling (Incl.Tax)","Доставка та оброблення (включаючи податки)"
"Before Discount","Перед знижкою"
"After Discount","Після знижки"
"customer group","група покупців"
Note:,Примітка:
"Apply Discount On Prices","Застосувати знижку до цін"
"Shopping Cart Display Settings","Налаштування відображення Кошика"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","При застосуванні податку ""Перед знижкою"", остаточна знижка може не відповідати очікуванням клієнтів."
"Save and Continue","Зберегти та продовжити"
"Save Configuration","Зберегти конфігурацію"
"Design Configuration","Налаштування дизайну"
"Test Label","Тестова етикетка"
Scope:,"Область використання:"
"Items %1 to %2 of %3 total","Позиції з %1 по %2 із %3 всього"
Page,Сторінка
"Theme Information","Інформація про тему"
"Default Meta Description","Meta опис слова за замовчуванням"
"Default Meta Keywords","Meta ключові слова за замовчуванням"
Menu,Меню
Account,"Обліковий запис"
"Default Description","Опис за замовчуванням"
"Copyright © 2017 Magento, Inc. All rights reserved.","Авторське право © 2017 Magento, Inc. Всі права захищені."
Translations,Переклади
"Translation files.","Файли перекладу."
"Parameter ""class"" must be present.","Параметр ""class"" повинен бути присутнім."
On,Увімк.
Off,Вимк.
"Please enter {0} words or less.","Будь ласка, введіть {0} слів або менше."
"Letters only please","Лише літери, будь ласка"
"Invalid format.","Неприпустимий формат."
"HTML tags are not allowed.","HTML-теги не допускаються."
"Please select an option.","Будь ласка, виберіть варіант."
"Empty Value.","Пусте значення."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Мінімальна довжина цього поля має бути рівною або більшою, ніж %1 символи. Початкові та кінцеві пробіли буде проігноровано."
"Please enter a number greater than 0 in this field.","Будь ласка, введіть число, більше за 0 у це поле."
"Please enter a valid date.","Будь ласка, вкажіть правильну дату."
"Please enter a valid zip code.","Введіть правильний поштовий індекс."
"Please select State/Province.","Будь ласка, виберіть область."
"Please enter a value less than or equal to %s.","Будь ласка, введіть значення менше або дорівнює %s."
"Please enter a value greater than or equal to %s.","Введіть число більше або дорівнює %s."
Category:,Категорія:
"CMS page:","CMS Сторінка:"
"For CMS page","Для CMS сторінки"
"Delete Role","Видалити роль"
Roles,Ролі
"Save User","Зберегти користувача"
"User Information","Інформація про користувача"
"Please enter an email address.","Будь ласка, введіть адресу електронної пошти."
